"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,C2i2e-2011,"Référentiel C2i2e - Version 2011","Certificat Informatique et Internet niveau 2 ""Enseignant"" version 2011",1,"Non pertinent,Non validé,Validé","[{""scaleid"":""8""},{""id"":1,""scaledefault"":0,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":0},{""id"":3,""scaledefault"":1,""proficient"":1}]",,,,,,1,"concept,domain,competency,skill"
,"C2i2e version 2011",C2i2e,"<p>Le C2i2e est acquis si </p><p><i>- 23 des 28 </i><i>habiletés sont </i><i>validée</i><i>s</i><i> <br />-
Pas plus de 2 deux </i><i>habiletés </i><i>non validées par
</i><i>compétence</i>.<br /></p><br />",1,,,"core_competency\competency_rule_all",2,null,,1619,,
"C2i2e version 2011",A,"Compétences générales liées à l'exercice du métier.","Compétences générales liées à l'exercice du métier.",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":12},""competencies"":[{""id"":1522,""points"":5,""required"":1},{""id"":1528,""points"":3,""required"":1},{""id"":1532,""points"":4,""required"":1}]}",,1521,,
A,A.1,"Maîtrise de l'environnement numérique professionnel.","Maîtrise de l'environnement numérique professionnel.",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":3},""competencies"":[{""id"":1523,""points"":1,""required"":0},{""id"":1524,""points"":1,""required"":0},{""id"":1525,""points"":1,""required"":0},{""id"":1526,""points"":1,""required"":0},{""id"":1527,""points"":1,""required"":0}]}",,1522,,
A.1,A.1-1,"Identifier les personnes ressources Tic et leurs rôles respectifs au niveau local, régional et (...)","Identifier les personnes ressources Tic et leurs rôles respectifs au niveau local, régional et national.",1,,,,0,null,,1523,,
A.1,A.1-2,"S'approprier différentes composantes informatiques (lieux, outils, ...) de son environnement (...)","S'approprier différentes composantes informatiques (lieux, outils, ...) de son environnement professionnel.",1,,,,0,null,,1524,,
A.1,A.1-3,"Choisir et utiliser les ressources et services disponibles dans un espace numérique de travail (...)","Choisir et utiliser les ressources et services disponibles dans un espace numérique de travail (ENT).",1,,,,0,null,,1525,,
A.1,A.1-4,"Choisir et utiliser les outils les plus adaptés pour communiquer avec les acteurs et usagers du (...","Choisir et utiliser les outils les plus adaptés pour communiquer avec les acteurs et usagers du système éducatif.",1,,,,0,null,,1526,,
A.1,A.1-5,"Se constituer et organiser des ressources en utilisant des sources professionnelles.","Se constituer et organiser des ressources en utilisant des sources professionnelles.",1,,,,0,null,,1527,,
A,A.2,"Développement des compétences pour la formation tout au long de la vie","Développement des compétences pour la formation tout au long de la vie",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":1},""competencies"":[{""id"":1529,""points"":1,""required"":0},{""id"":1530,""points"":1,""required"":0},{""id"":1531,""points"":1,""required"":0}]}",,1528,,
A.2,A.2-1,"Utiliser des ressources en ligne ou des dispositifs de formation à distance pour sa formation.","Utiliser des ressources en ligne ou des dispositifs de formation à distance pour sa formation.",1,,,,0,null,,1529,,
A.2,A.2-2,"Se référer à des travaux de recherche liant savoirs, apprentissages et Tice.","Se référer à des travaux de recherche liant savoirs, apprentissages et Tice.",1,,,,0,null,,1530,,
A.2,A.2-3,"Pratiquer une veille pédagogique, institutionnelle, scientifique à travers des réseaux (...)","Pratiquer une veille pédagogique, institutionnelle, scientifique à travers des réseaux d'échanges concernant son domaine, sa discipline, son niveau d'enseignement.",1,,,,0,null,,1531,,
A,A.3,"Responsabilité professionnelle dans le cadre du système éducatif","Responsabilité professionnelle dans le cadre du système éducatif",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":2},""competencies"":[{""id"":1533,""points"":1,""required"":0},{""id"":1534,""points"":1,""required"":0},{""id"":1535,""points"":1,""required"":0},{""id"":1536,""points"":1,""required"":0}]}",,1532,,
A.3,A.3-1,"S'exprimer et communiquer en s'adaptant aux différents destinataires et espaces de diffusion (...)","S'exprimer et communiquer en s'adaptant aux différents destinataires et espaces de diffusion (institutionnel, public, privé, interne, externe, ...).",1,,,,0,null,,1533,,
A.3,A.3-2,"Prendre en compte les enjeux et respecter les règles concernant notamment : la recherche et les (...","Prendre en compte les enjeux et respecter les règles concernant notamment : la recherche et les critères de contrôle de validité des informations ; la sécurité informatique ; le filtrage internet.",1,,,,0,null,,1534,,
A.3,A.3-3,"Prendre en compte les lois et les exigences d'une utilisation professionnelle des Tice concernant...","Prendre en compte les lois et les exigences d'une utilisation professionnelle des Tice concernant notamment : la protection des libertés individuelles et publiques ; la sécurité des personnes ; la protection des mineurs ; la confidentialité des données ; la propriété intellectuelle ; le droit à l'image.",1,,,,0,null,,1535,,
A.3,A.3-4,"Respecter et faire respecter la (les) charte(s) d'usage de l'établissement, notamment dans une (...)","Respecter et faire respecter la (les) charte(s) d'usage de l'établissement, notamment dans une perspective éducative d'apprentissage de la citoyenneté.",1,,,,0,null,,1536,,
"C2i2e version 2011",B,"Compétences nécessaires à l'intégration des TICE dans sa pratique","Compétences nécessaires à l'intégration des TICE dans sa pratique",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":16},""competencies"":[{""id"":1538,""points"":3,""required"":1},{""id"":1542,""points"":5,""required"":1},{""id"":1548,""points"":5,""required"":1},{""id"":1554,""points"":3,""required"":1}]}",,1537,,
B,B.1,"Travail en réseau avec l'utilisation des outils de travail collaboratif","Travail en réseau avec l'utilisation des outils de travail collaboratif",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":2},""competencies"":[{""id"":1539,""points"":1,""required"":0},{""id"":1540,""points"":1,""required"":0},{""id"":1541,""points"":1,""required"":0}]}",,1538,,
B.1,B.1-1,"Rechercher, produire, indexer, partager et mutualiser des documents, des informations, des (...)","Rechercher, produire, indexer, partager et mutualiser des documents, des informations, des ressources dans un environnement numérique.",1,,,,0,null,,1539,,
B.1,B.1-2,"Contribuer à une production ou à un projet collectif au sein d'équipes disciplinaires, (...)","Contribuer à une production ou à un projet collectif au sein d'équipes disciplinaires, interdisciplinaires, transversales ou éducatives.",1,,,,0,null,,1540,,
B.1,B.1-3,"Organiser, coordonner et animer un travail en réseau au sein d'équipes disciplinaires, (...)","Organiser, coordonner et animer un travail en réseau au sein d'équipes disciplinaires, interdisciplinaires, transversales ou éducatives",1,,,,0,null,,1541,,
B,B.2,"Conception et préparation de contenus d'enseignement et de situations d'apprentissage","Conception et préparation de contenus d'enseignement et de situations d'apprentissage",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":3},""competencies"":[{""id"":1543,""points"":1,""required"":0},{""id"":1544,""points"":1,""required"":0},{""id"":1545,""points"":1,""required"":0},{""id"":1546,""points"":1,""required"":0},{""id"":1547,""points"":1,""required"":0}]}",,1542,,
B.2,B.2-1,"Identifier les situations d'apprentissage propices à l'utilisation des Tice.","Identifier les situations d'apprentissage propices à l'utilisation des Tice.",1,,,,0,null,,1543,,
B.2,B.2-2,"Concevoir des situations d'apprentissage et d'évaluation mettant en œuvre des logiciels (...)","Concevoir des situations d'apprentissage et d'évaluation mettant en œuvre des logiciels généraux ou spécifiques à la discipline, au domaine et niveau d'enseignement.",1,,,,0,null,,1544,,
B.2,B.2-3,"Concevoir des situations d'apprentissage et d'évaluation mettant en œuvre des démarches de (...)","Concevoir des situations d'apprentissage et d'évaluation mettant en œuvre des démarches de recherche d'information.",1,,,,0,null,,1545,,
B.2,B.2-4,"Préparer des ressources adaptées à la diversité des publics et des situations pédagogiques : (...)","Préparer des ressources adaptées à la diversité des publics et des situations pédagogiques : en opérant des choix entre les supports et médias utilisables ; en respectant les règles de la communication.",1,,,,0,null,,1546,,
B.2,B.2-5,"Concevoir des situations ou dispositifs de formation introduisant de la mise à distance.","Concevoir des situations ou dispositifs de formation introduisant de la mise à distance.",1,,,,0,null,,1547,,
B,B.3,"Mise en oeuvre pédagogique en présentiel et à distance","Mise en oeuvre pédagogique en présentiel et à distance",1,,,"core_competency\competency_rule_points",2,"{""base"":{""points"":3},""competencies"":[{""id"":1549,""points"":1,""required"":0},{""id"":1550,""points"":1,""required"":0},{""id"":1551,""points"":1,""required"":0},{""id"":1552,""points"":1,""required"":0},{""id"":1553,""points"":1,""required"":0}]}",,1548,,
B.3,B.3-1,"Conduire des situations d'apprentissage diversifiées en tirant parti du potentiel des Tic ...","Conduire des situations d'apprentissage diversifiées en tirant parti du potentiel des Tic (travail collectif, individualisé, en petits groupes).",1,,,,0,null,,1549,,
B.3,B.3-2,"Gérer l'alternance entre les activités utilisant les Tice et celles qui n'y ont pas recours.","Gérer l'alternance entre les activités utilisant les Tice et celles qui n'y ont pas recours.",1,,,,0,null,,1550,,
B.3,B.3-3,"Gérer des temps et des modalités de travail différenciés, en présentiel et/ou à distance pour (...)","Gérer des temps et des modalités de travail différenciés, en présentiel et/ou à distance pour prendre en compte la diversité des élèves, des étudiants, des stagiaires.",1,,,,0,null,,1551,,
B.3,B.3-4,"Utiliser les Tice pour accompagner, tutorer des élèves, des étudiants, des stagiaires dans la (...)","Utiliser les Tice pour accompagner, tutorer des élèves, des étudiants, des stagiaires dans la réalisation de leurs travaux, leurs projets, leurs recherches.",1,,,,0,null,,1552,,
B.3,B.3-5,"Anticiper un incident technique ou savoir y faire face.","Anticiper un incident technique ou savoir y faire face.",1,,,,0,null,,1553,,
B,B.4,"Compétences d'évaluation","Compétences d'évaluation",1,,,"core_competency\competency_rule_points",3,"{""base"":{""points"":2},""competencies"":[{""id"":1555,""points"":1,""required"":0},{""id"":1556,""points"":1,""required"":0},{""id"":1557,""points"":1,""required"":0}]}",,1554,,
B.4,B.4-1,"Identifier les compétences des référentiels Tic (B2i®, C2i®) mises en œuvre dans une (...)","Identifier les compétences des référentiels Tic (B2i®, C2i®) mises en œuvre dans une situation de formation proposée aux élèves, aux étudiants, aux stagiaires.",1,,,,0,null,,1555,,
B.4,B.4-2,"S'intégrer dans une démarche collective d'évaluation des compétences Tic (B2i ® ou C2i ®).","S'intégrer dans une démarche collective d'évaluation des compétences Tic (B2i ® ou C2i ®).",1,,,,0,null,,1556,,
B.4,B.4-3,"Utiliser des outils d'évaluation et de suivi pédagogique.","Utiliser des outils d'évaluation et de suivi pédagogique.",1,,,,0,null,,1557,,
