"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,2016,"CEFR for STEM","<div>Based on the<a href=""https://en.wikipedia.org/wiki/Common_European_Framework_of_Reference_for_Languages""> Common European Framework of Reference for Languages</a> but with extra details added to make it more suitable for ESP in higher education.</div><div><br /></div><div>The extra compentencies are added at levels B2 and C1. It is considered that students at levels below B2 should be acquiring general English and high-frequency lexis from general Academic language.<br /></div>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,20161,A1,"Basic user - Beginner",1,,,,0,null,,1,,
20161,20162,"A1 (i)","Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type.",1,,,,0,null,,2,,
20161,20163,"A1 (ii)","Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has.",1,,,,0,null,,3,,
20161,20164,"A1 (iii)","Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.",1,,,,0,null,,4,,
,20165,A2,"Basic user - elementary",1,,,,0,null,,5,,
20165,20166,"A2 (i)","Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment).",1,,,,0,null,,6,,
20165,20167,"A2 (ii)","Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.",1,,,,0,null,,7,,
20165,20168,"A2 (iii)","Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.",1,,,,0,null,,8,,
,20169,"B1 ","Independent user - Threshold",1,,,,0,null,,9,,
20169,201610,"B1 (i)","Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc.",1,,,,0,null,,10,,
20169,201611,"B1 (ii)","Can deal with most situations likely to arise while travelling in an area where the language is spoken.",1,,,,0,null,,11,,
20169,201612,"B1 (iii)","Can produce simple connected text on topics that are familiar or of personal interest.",1,,,,0,null,,12,,
20169,201613,"B1 (iv)","Can describe experiences and events, dreams, hopes and ambitions and briefly give reasons and explanations for opinions and plan",1,,,,0,null,,13,,
,201614,B2,"Independent user - Upper Intermediate",1,,,,0,null,,14,,
201614,201615,"B2 (i)","Listening — can understand spoken language in detail, including technical discussions in their field of specialization.<br /><br />",1,,,,0,null,,15,,
201614,201616,"B2 (ii)","Listening — can understand the main ideas of spoken language on practical and abstract topics when delivered in standard language.<br /><br />",1,,,,0,null,,16,,
201614,201617,"B2 (iii)","Listening — can use a variety of strategies to achieve comprehension such as listening for main points and using contextual clues.<br /><br />",1,,,,0,null,,17,,
201614,201618,"B2 (iv)","<p>Reading — can choose an appropriate reading strategy according to the situation eg skimming and scanning<br /><br /></p>",1,,,,0,null,,18,,
201614,201619,"B2 (v)","<p>Reading — can quickly identify subject matter, content and relevance of news items, articles and reports to decide which ones to study further<br /><br /></p>",1,,,,0,null,,19,,
201614,201620,"B2 (vi)","<p>Reading — can read a text from their field of specialization and take part in a discussion about it<br /><br /></p>",1,,,,0,null,,20,,
201614,201621,"B2 (vii)","Reading — can read a text on a controversial question in their field and summarise the main points in it.<br /><br /><p><br /></p>",1,,,,0,null,,21,,
201614,201622,"B2 (viii)","<p>Reading — can use different strategies to deal with unknown words, eg. Guessing, using dictionaries and glossaries<br /><br /></p>",1,,,,0,null,,22,,
201614,201623,"B2 (ix)","<p>Speaking — can successfully start, maintain and close a conversation<br /><br /></p>",1,,,,0,null,,23,,
201614,201624,"B2 (x)","<p>Speaking — can successfully exchange technical information within their field of specialization<br /><br /></p>",1,,,,0,null,,24,,
201614,201625,"B2 (xi)","<p>Speaking — can describe and help to solve problems in their field of specialization<br /><br /></p>",1,,,,0,null,,25,,
201614,201626,"B2 (xii)","Speaking — can give clear descriptions of a wide range of topics related to their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,26,,
201614,201627,"B2 (xiii)","<p>Speaking — can discuss the advantages and disadvantages of different solutions to problems in their field of specialization<br /><br /></p>",1,,,,0,null,,27,,
