"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,NEO-PIF,"Master MEEF - PIF - NEO - INSPÉ","<p style=""text-align:left;"" dir=""ltr""></p><div><div><div><div><h1>DEVENIR INGÉNIEUR PÉDAGOGIQUE DU NUMÉRIQUE</h1></div></div></div></div><div><div><div><a></a><div><div><div><div><div><div><div><p>Cette formation a pour objectif spécifique d’accompagner les étudiant·e·s à la maîtrise des quatre compétences suivantes :</p><ul><li><ul><li><strong>Accompagner </strong>la mise en oeuvre de la pédagogie du numérique et de l'innovation en utilisant les techniques de conduite d'entretien, en respectant la diversité des publics et du contexte, en s'informant sur le fonctionnement et les règles de l'environnement de travail, en mobilisant les principes et les théories de l'accompagnement au changement, en s’adaptant au niveau d’hybridation de la formation</li><li><strong>Concevoir </strong>des ressources et des formations en innovant, créant avec le numérique, en respectant le contexte et les utilisateurs, en conduisant une démarche rigoureuse, en utilisant des techniques et des outils, en respectant la propriété intellectuelle.</li><li><strong>Piloter </strong>un projet d’ingénierie pédagogique innovant en utilisant des techniques de gestion de projet et en respectant les contraintes de l’environnement et des membres du projet</li><li><strong>Évaluer </strong>un dispositif de formation innovant par la qualité en veillant à l’objectivité, en respectant les dimensions éthiques, en s’intégrant dans un cycle de conception pour une amélioration, en partageant ses conclusions.</li></ul></li></ul></div></div></div></div></div></div></div></div></div></div><p></p>",1,"Débutant,Intermédiaire,Compétent,Expert","[{""scaleid"":""317""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":3,""scaledefault"":0,""proficient"":1},{""id"":4,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,NEO-C1,"✊ Accompagner la mise en œuvre de la pédagogie du numérique et de l'innovation","<div class=""container-fluid py-2 mt-4 mb-4"">
    <div class=""row"">
        <div class=""col py-2"">
            <div class=""card"">
                <div class=""card-body"">
                    <div class=""card rounded-0 shadow h-100 bg-dark"">
                        <div class=""card-body"">
                            <ul style=""margin-right:0px;margin-bottom:1em;margin-left:0px;padding:0px 0px 0px 2em;border:0px;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:12px;vertical-align:baseline;color:rgb(248,248,242);"">
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;""><img src=""https://inspe-master-meef-neo.github.io/ametice/customs/img/neo/NEO%20C1.png"" class=""float-right img-fluid"" style=""max-width:256px;"" alt=""NEO%20C1.png"" />
                                    <h1 style=""margin-right:0px;margin-bottom:8px;margin-left:0px;padding:0.2em 0px 4px;border:none;font-style:inherit;font-family:inherit;font-size:2.55em;vertical-align:baseline;"" class=""text-white""><abbr title=""... un savoir-agir complexe ..."" style=""margin:0px;padding:0px;border-top:0px;border-right:0px;border-left:0px;font-weight:inherit;font-style:inherit;font-family:inherit;font-size:30.6px;vertical-align:baseline;"">La compétence</abbr> <kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1</kbd><br />✊ ACCOMPAGNER</h1>
                                </li>
                            </ul>
                            <h2 style=""margin:1em 0px 0.37em;padding:0.2em 0px;border:none;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:1.75em;vertical-align:baseline;line-height:1.225;color:rgb(248,248,242);""><abbr title=""... qui comprend des qualités, des critères d'exigences observables ..."" style=""margin:0px;padding:0px;border-top:0px;border-right:0px;border-left:0px;font-weight:inherit;font-style:inherit;font-family:inherit;font-size:21px;vertical-align:baseline;"">🔩 Composantes essentielles</abbr></h2>
                            <ul style=""margin-right:0px;margin-bottom:1em;margin-left:0px;padding:0px 0px 0px 2em;border:0px;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:12px;vertical-align:baseline;color:rgb(248,248,242);"">
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-CE1</kbd> 🔩 en mobilisant les principes et les théories de l’accompagnement au changement</p>
                                </li>
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-CE2</kbd> 🔩 en respectant la diversité des publics et du contexte</p>
                                </li>
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-CE3</kbd> 🔩 en s’informant sur le fonctionnement et les règles de l’environnement de travail</p>
                                </li>
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-CE4</kbd> 🔩 en s’adaptant au niveau d’hybridation de la formation</p>
                                </li>
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-CE5</kbd> 🔩 en utilisant les techniques de conduite d’entretien</p>
                                </li>
                            </ul>
                            <h2 style=""margin:1em 0px 0.37em;padding:0.2em 0px;border:none;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:1.75em;vertical-align:baseline;line-height:1.225;color:rgb(248,248,242);""><abbr title=""... en adoptant des responsabilités de + en + complexes ..."" style=""margin:0px;padding:0px;border-top:0px;border-right:0px;border-left:0px;font-weight:inherit;font-style:inherit;font-family:inherit;font-size:21px;vertical-align:baseline;"">✨ Niveaux de développement</abbr></h2>
                            <ul style=""margin-right:0px;margin-bottom:1em;margin-left:0px;padding:0px 0px 0px 2em;border:0px;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:12px;vertical-align:baseline;color:rgb(248,248,242);"">
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <h3 style=""margin:1em 0px 1.5em;padding:0.2em 0px;border:0px;font-style:inherit;font-family:inherit;font-size:1.5em;vertical-align:baseline;line-height:1.43;"" class=""text-white""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-N1</kbd> ⭐ Se familiarise avec la notion d’accompagnement et son contexte <code style=""margin:0px 2px 0px 0px;padding:2px;border:1px solid rgb(85,85,85);font-weight:inherit;font-style:inherit;font-family:Consolas, Monaco, Menlo, 'Ubuntu Mono', Consolas, 'source-code-pro', monospace;font-size:1em;vertical-align:baseline;background-color:rgb(68,68,68);color:rgb(255,255,255);"">NOVICE</code></h3>
                                </li>
                            </ul>
                            <ul style=""margin-right:0px;margin-bottom:1em;margin-left:0px;padding:0px 0px 0px 2em;border:0px;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:12px;vertical-align:baseline;color:rgb(248,248,242);"">
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <h3 style=""margin:1em 0px 1.5em;padding:0.2em 0px;border:0px;font-style:inherit;font-family:inherit;font-size:1.5em;vertical-align:baseline;line-height:1.43;"" class=""text-white""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-N2</kbd> ⭐⭐ Identifie les principes et les enjeux de l’accompagnement <code style=""margin:0px 2px 0px 0px;padding:2px;border:1px solid rgb(85,85,85);font-weight:inherit;font-style:inherit;font-family:Consolas, Monaco, Menlo, 'Ubuntu Mono', Consolas, 'source-code-pro', monospace;font-size:1em;vertical-align:baseline;background-color:rgb(68,68,68);color:rgb(255,255,255);"">INTERMÉDIAIRE</code></h3>
                                </li>
                            </ul>
                            <ul style=""margin-right:0px;margin-bottom:1em;margin-left:0px;padding:0px 0px 0px 2em;border:0px;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:12px;vertical-align:baseline;color:rgb(248,248,242);"">
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <h3 style=""margin:1em 0px 1.5em;padding:0.2em 0px;border:0px;font-style:inherit;font-family:inherit;font-size:1.5em;vertical-align:baseline;line-height:1.43;"" class=""text-white""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-N3</kbd> ⭐⭐⭐ Conduit un accompagnement <code style=""margin:0px 2px 0px 0px;padding:2px;border:1px solid rgb(85,85,85);font-weight:inherit;font-style:inherit;font-family:Consolas, Monaco, Menlo, 'Ubuntu Mono', Consolas, 'source-code-pro', monospace;font-size:1em;vertical-align:baseline;background-color:rgb(68,68,68);color:rgb(255,255,255);"">COMPÉTENT</code></h3>
                                </li>
                            </ul>
                            <ul style=""margin-right:0px;margin-bottom:1em;margin-left:0px;padding:0px 0px 0px 2em;border:0px;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:12px;vertical-align:baseline;color:rgb(248,248,242);"">
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <h3 style=""margin:1em 0px 1.5em;padding:0.2em 0px;border:0px;font-style:inherit;font-family:inherit;font-size:1.5em;vertical-align:baseline;line-height:1.43;"" class=""text-white""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-N4</kbd> ⭐⭐⭐⭐ Former des équipes à l’accompagnement <code style=""margin:0px 2px 0px 0px;padding:2px;border:1px solid rgb(85,85,85);font-weight:inherit;font-style:inherit;font-family:Consolas, Monaco, Menlo, 'Ubuntu Mono', Consolas, 'source-code-pro', monospace;font-size:1em;vertical-align:baseline;background-color:rgb(68,68,68);color:rgb(255,255,255);"">AVANCÉ</code></h3>
                                </li>
                            </ul>
                            <h2 style=""margin:1em 0px 0.37em;padding:0.2em 0px;border:none;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:1.75em;vertical-align:baseline;line-height:1.225;color:rgb(248,248,242);""><abbr title=""... dans des contextes ou familles de situations..."" style=""margin:0px;padding:0px;border-top:0px;border-right:0px;border-left:0px;font-weight:inherit;font-style:inherit;font-family:inherit;font-size:21px;vertical-align:baseline;"">💼 Situations professionnelles</abbr></h2>
                            <ul style=""margin-right:0px;margin-bottom:1em;margin-left:0px;padding:0px 0px 0px 2em;border:0px;font-family:Verdana, meiryo, 'Microsoft YaHei', helvetica, arial, sans-serif;font-size:12px;vertical-align:baseline;color:rgb(248,248,242);"">
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-SP1</kbd> 💼 Accompagner une équipe pédagogique dans la mise en œuvre d’une approche par compétences pour une formation sur Moodle</p>
                                </li>
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-SP2</kbd> 💼 Conseiller un formateur pour l’élaboration de l’évaluation à distance des acquis d’apprentissages des apprenants</p>
                                </li>
                                <li style=""margin:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;"">
                                    <p style=""margin-right:0px;margin-bottom:0px;margin-left:0px;padding:0px;border:0px;font-weight:inherit;font-style:inherit;font-family:inherit;vertical-align:baseline;line-height:1.6em;""><kbd style=""margin:0px;padding:3px 5px;border-width:1px;border-style:solid;border-color:rgb(208,208,208) rgb(208,208,208) rgb(136,136,136);font-weight:inherit;font-style:inherit;font-family:inherit;font-size:0.8em;vertical-align:baseline;background-color:rgb(30,33,39);line-height:1;color:rgb(248,248,242);"">NEO-C1-SP3</kbd> 💼 Rédiger un contrat d’accompagnement pour la création d’une formation à distance</p>
                                </li>
                            </ul>
                        </div>
                    </div>
                </div>
            </div>
        </div>
    </div>
</div>",1,,,,0,null,"NEO-C1-N1,NEO-C1-N2,NEO-C1-N3,NEO-C1-N4",288,,
NEO-C1-N1,NEO-C1-L1-P1,"🔨 Analyser le besoin de formation et le profil des publics d’apprenants",,1,,,,0,null,NEO-C1-N1,290,,
NEO-C1-N1,NEO-C1-L1-P2,"🔨 Mener une analyse comparative des formations existantes dans les domaines considérés",,1,,,,0,null,NEO-C1-N1,291,,
NEO-C1-N2,NEO-C1-L2-P1,"🔨 Définir des objectifs pédagogiques en identifiant les attendus et compétences à acquérir",,1,,,,0,null,NEO-C1-N2,293,,
NEO-C1-N2,NEO-C1-L2-P2,"🔨 Modéliser une expérience d’apprentissage en utilisant les méthodes et les modalités adaptées",,1,,,,0,null,NEO-C1-N2,294,,
NEO-C1-N3,NEO-C1-L3-P1,"🔨 Construire un dispositif pédagogique dans le respect du cadre réglementaire et des ressources...","<p dir=""ltr"" style=""text-align:left;"">🔨 Construire un dispositif pédagogique dans le respect du cadre réglementaire et des ressources disponibles<br /></p>",1,,,,0,null,NEO-C1-N3,296,,
NEO-C1-N3,NEO-C1-L3-P2,"🔨 Construire la maquette pédagogique d’une formation",,1,,,,0,null,NEO-C1-N3,297,,
NEO-C1-N3,NEO-C1-L3-P3,"🔨 Rédiger une communication pour promouvoir le dispositif auprès des apprenants",,1,,,,0,null,NEO-C1-N3,298,,
NEO-C1-N4,NEO-C1-L4-P1,"🔨 Réaliser un support écrit et/ou oral sur les principes et les théories de l’accompagnement",,1,,,,0,null,NEO-C1-N4,300,,
