"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,1979,DigCompLMSAdmin,"<p dir=""ltr"" style=""text-align:left;"">DigCompLMSAdmin is a competency framework for Moodle administrators, designed by Moodle Academy based on the <a href=""https://joint-research-centre.ec.europa.eu/digcompedu_en"">DigCompEdu</a> framework for educators.</p>It consists of:<br />
<ul>
    <li><strong>4 general thematic areas </strong>(Infrastructure, Operation, Integration, Practice) covering:</li></ul>
    <ul>
        <li><strong>8 areas of competence</strong> (Implementation, Maintenance and suport, Site structure,  User management, Site appearance/UX, Monitoring, Plugins and Extensions, Professional Practice) incorporating:<ul>
            <li><strong>31 competences.</strong></li>
        </ul></li>
        
    </ul>
<p dir=""ltr"" style=""text-align:left;"">This framework by  Moodle Academy (Moodle Pty Ltd) is licensed under <a href=""https://creativecommons.org/licenses/by/4.0/"">CC BY 4.0</a>. Original framework available at <a href=""https://moodle.academy/"">https://moodle.academy</a>.<br /></p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,197910,Infrastructure/Implementation,"<p dir=""ltr"" style=""text-align:left;""><strong>Thematic area: </strong>Infrastructure</p><p dir=""ltr"" style=""text-align:left;""><strong>Area of competence</strong>: Implementation</p>",1,,,,0,null,,97,,
197910,197911,"1.1 Installation","<p dir=""ltr"" style=""text-align:left;"">Set up an LMS on a suitable hosting environment.<br /></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence:</strong> Implementation</li></ul><br /><p></p>",1,,,,0,null,,95,,
197910,197912,"1.2 Security","<p dir=""ltr"" style=""text-align:left;"">Incorporate good practice in embedding security in the LMS.<br /></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence:</strong> Implementation</li></ul><br /><p></p>",1,,,,0,null,,96,,
197910,197913,"1.3 Privacy","<p dir=""ltr"" style=""text-align:left;"">Enable agreed privacy procedures appropriate to the institution and location.</p><p></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence:</strong> Implementation</li></ul><br /><p></p>",1,,,,0,null,,98,,
197910,197914,"1.4 Site policy","<p dir=""ltr"" style=""text-align:left;"">Enable agreed site policies appropriate to the institution and location.</p><p></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence:</strong> Implementation</li></ul><br /><p></p>",1,,,,0,null,,99,,
,197920,"Infrastructure/Maintenance and support","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence: </strong>Maintenance and support</li></ul><br /><p></p>",1,,,,0,null,,100,,
197920,197921,"2.1 Performance","<p dir=""ltr"" style=""text-align:left;"">Use recommended performance measures for optimisation and scalability.</p><p></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence: </strong>Maintenance and support</li></ul><br /><p></p>",1,,,,0,null,,101,,
197920,197922,"2.2 Upgrading","<p dir=""ltr"" style=""text-align:left;"">Implement an agreed policy of regular upgrades.</p><p></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence:</strong> Maintenance and support</li></ul><br /><p></p>",1,,,,0,null,,102,,
197920,197923,"2.3 Year end/Rollover","<p dir=""ltr"" style=""text-align:left;"">Incorporate regular backups and resets in line with institutional requirements.</p><p></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence:</strong> Maintenance and support</li></ul><br /><p></p>",1,,,,0,null,,103,,
