"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,[CF_shortname],[CF_name],"<p dir=""ltr"" style=""text-align:left;"">[CF_description]<br />// can be html</p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,[CF_shortname]-C1,"✊ C1 [C1_name]","<p dir=""ltr"" style=""text-align:left;"">[C1_description]</p>
<h5 style=""text-align:left;""><span>🔩 Essential Component</span></h5><p></p><ul><li><span>[C1_list_of_ECx]</span></li></ul>
<h5 style=""text-align:left;"">💼 Professional Situation</h5><p></p><ul><li>[C1_list_of_PSx]</li></ul>",1,,,,0,null,"[CF_shortname]-C1-L1,[CF_shortname]-C1-L1-CL1,[CF_shortname]-C1-L1-CL1_I1",XXX-0,,
[CF_shortname]-C1,[CF_shortname]-C1-L1,"⭐ [C1-L1_name]","<p dir=""ltr"" style=""text-align:left;"">[C1-L1_description]<br /></p>",1,"Novice,Intermédiaire,Compétent,Avancé","[{""scaleid"":""16""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":3,""scaledefault"":0,""proficient"":1}]",,0,null,"[CF_shortname]-C1,[CF_shortname]-C1-L1-CL1,[CF_shortname]-C1-L1-CL1_I1",XXX-1,,
[CF_shortname]-C1-L1,[CF_shortname]-C1-L1-CL1,"🔨 [C1-L1-CL1_name]","<p dir=""ltr"" style=""text-align:left;"">[C1-L1-CL1_description]<br /></p>",1,,,,0,null,"[CF_shortname]-C1,[CF_shortname]-C1-L1,[CF_shortname]-C1-L1-CL1_I1",XXX-2,,
[CF_shortname]-C1-L1-CL1,[CF_shortname]-C1-L1-CL1_I1,"✔️ [C1-L1-CL1_I1_name] ","<p dir=""ltr"" style=""text-align:left;"">[C1-L1-CL1_I1_description] <br /></p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,0,null,"[CF_shortname]-C1,[CF_shortname]-C1-L1,[CF_shortname]-C1-L1-CL1",XXX-3,,
[CF_shortname]-C1,[CF_shortname]-C1-L2,"⭐⭐ [C1-L2_name]","<p dir=""ltr"" style=""text-align:left;"">[C1-L2_description]<br /></p>",1,"⭐,⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐","[{""scaleid"":""15""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":5,""scaledefault"":0,""proficient"":1}]",,0,null,,XXX-4,,
[CF_shortname]-C1,[CF_shortname]-C1-L3,"⭐⭐⭐ [C1-L3_name] ","<p dir=""ltr"" style=""text-align:left;"">[C1-L3_description]<br /></p>",1,"0️⃣,1️⃣,2️⃣,3️⃣,4️⃣,5️⃣,6️⃣,7️⃣,8️⃣,9️⃣,🔟","[{""scaleid"":""11""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":6,""scaledefault"":0,""proficient"":1},{""id"":7,""scaledefault"":0,""proficient"":1},{""id"":8,""scaledefault"":0,""proficient"":1},{""id"":9,""scaledefault"":0,""proficient"":1},{""id"":10,""scaledefault"":0,""proficient"":1},{""id"":11,""scaledefault"":0,""proficient"":1}]",,0,null,,XXX-5,,
[CF_shortname]-C1,[CF_shortname]-C1-L4,"⭐⭐⭐⭐ [C1-L4_name] ","<p dir=""ltr"" style=""text-align:left;"">[C1-L4_description]<br /></p>",1,"😥 I'm so lost,😐 I don't really get it,😊 I'm starting to get it,😄 I got this,😎 I could teach this","[{""scaleid"":""6""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":4,""scaledefault"":0,""proficient"":1},{""id"":5,""scaledefault"":0,""proficient"":1}]",,0,null,,XXX-6,,
