"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,ID-NUMBER-EXAMPLE-XXX,"Example of a name of a Competency framework (copy)","<p dir=""ltr"" style=""text-align:left;"">Example of a description of a Competency framework<br /></p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,level,practice,indicator"
,ID-NUMBER-EXAMPLE-X1,"Example of a name for competency 1","<p dir=""ltr"" style=""text-align:left;"">Example of a description of a top-level competency<br /></p>",1,"Novice,Intermédiaire,Compétent,Avancé","[{""scaleid"":""16""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":3,""scaledefault"":0,""proficient"":1},{""id"":4,""scaledefault"":0,""proficient"":1}]","core_competency\competency_rule_all",1,null,"ID-NUMBER-EXAMPLE-X2,ID-NUMBER-EXAMPLE-X3,ID-NUMBER-EXAMPLE-X4,ID-NUMBER-EXAMPLE-X5,ID-NUMBER-EXAMPLE-X11,ID-NUMBER-EXAMPLE-X12,ID-NUMBER-EXAMPLE-X13,ID-NUMBER-EXAMPLE-X14,ID-NUMBER-EXAMPLE-X111,ID-NUMBER-EXAMPLE-X1111",622,,
ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X11,"Example of a name for level 1 of competency 1","<p dir=""ltr"" style=""text-align:left;""> Example of a description of a level<br /></p>",1,,,"core_competency\competency_rule_points",3,"{""base"":{""points"":5},""competencies"":[{""id"":624,""points"":10,""required"":0}]}","ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X1111",623,,
ID-NUMBER-EXAMPLE-X11,ID-NUMBER-EXAMPLE-X111,"Example of a name for practice 1 of level 1 of competency 1","<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr""> Example of a description of a practice</p><br /><p></p>",1,,,,0,null,"ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X1111",624,,
ID-NUMBER-EXAMPLE-X111,ID-NUMBER-EXAMPLE-X1111,"Example of a name for indicator 1 of practice 1 of level 1 of competency 1","<p dir=""ltr"" style=""text-align:left;""> Example of a description of an indicator<br /></p>",1,"0️⃣,1️⃣,2️⃣,3️⃣,4️⃣,5️⃣,6️⃣,7️⃣,8️⃣,9️⃣,🔟","[{""scaleid"":""11""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":6,""scaledefault"":0,""proficient"":1},{""id"":7,""scaledefault"":0,""proficient"":1},{""id"":8,""scaledefault"":0,""proficient"":1},{""id"":9,""scaledefault"":0,""proficient"":1},{""id"":10,""scaledefault"":0,""proficient"":1},{""id"":11,""scaledefault"":0,""proficient"":1}]",,0,null,"ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X11,ID-NUMBER-EXAMPLE-X111",625,,
ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X12,"Example of a name for level 2 of competency 1","Example of a description of a level",1,,,,0,null,ID-NUMBER-EXAMPLE-X1,626,,
ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X13,"Example of a name for level 3 of competency 1","Example of a description of a level",1,,,,0,null,ID-NUMBER-EXAMPLE-X1,627,,
ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X14,"Example of a name for level 4 of competency 1","Example of a description of a level",1,,,,0,null,ID-NUMBER-EXAMPLE-X1,628,,
,ID-NUMBER-EXAMPLE-X2,"Example of a name for competency 2","<p dir=""ltr"" style=""text-align:left;"">Example of a description of a top-level competency<br /></p>",1,"😥 I'm so lost,😐 I don't really get it,😊 I'm starting to get it,😄 I got this,😎 I could teach this","[{""scaleid"":""6""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":4,""scaledefault"":0,""proficient"":1},{""id"":5,""scaledefault"":0,""proficient"":1}]","core_competency\competency_rule_points",2,"{""base"":{""points"":100},""competencies"":[{""id"":630,""points"":100,""required"":1}]}","ID-NUMBER-EXAMPLE-X1,ID-NUMBER-EXAMPLE-X21,ID-NUMBER-EXAMPLE-X211,ID-NUMBER-EXAMPLE-X2111",629,,
ID-NUMBER-EXAMPLE-X2,ID-NUMBER-EXAMPLE-X21,"Example of a name for level 1 of competency 2","<p dir=""ltr"" style=""text-align:left;"">Example of a description of a level<br /></p>",1,,,"core_competency\competency_rule_points",1,"{""base"":{""points"":20},""competencies"":[{""id"":631,""points"":20,""required"":1}]}",ID-NUMBER-EXAMPLE-X2,630,,
